混雑（こんざつ）		congestion		1
コンビニ	a	convenience store	convenience stores	
コンプレックス		complex		1
婚約（こんやく）	an	engagement	engagements	
サークル	a	circle	circles	
災害（さいがい）	a	disaster	disasters	1
サイコロ	a	dice	dices	1
財産（ざいさん）	a	fortune	fortunes	1
才能（さいのう）	a	talent	talents	
裁判（さいばん）	a	trial	trials	1
裁判員（さいばんいん）		lay judge		1
財布（さいふ）	a	wallet	wallets	
細部（さいぶ）	a	detail	details	1
材料（ざいりょう）	a	material	materials	1
				
サイン	a	signature	signatures	1
坂（さか）	a	slope	slopes	
境（さかい）	a	border	borders	1
魚（さかな）	a	fish		
詐欺（さぎ）	a	scam	scams	1
策（さく）	a	plan	plans	1
作品（さくひん）		work		
桜（さくら）		cherry blossoms		
鮭（さけ）	a	salmon	salmons	
酒（さけ）	an	alcoholic drink	alcoholic drinks	
座敷（ざしき）	a	tatami room	tatami rooms	1
叫（さけ）び	s	shout	shouts	
差込口（さしこみぐち）	a	slot	slots	1
座席（ざせき）	a	seat	seats	
挫折（ざせつ）	a	setback	setbacks	1
サッカー		soccer		
雑誌（ざっし）	a	magazine	magazines	
雑草（ざっそう）	a	weed	weeds	
砂糖（さとう）		sugar		
鯖（さば）	a	mackerel	mackerels	1
砂漠（さばく）	a	desert	deserts	1
座布団（ざぶとん）	a	Japanese cushion	Japanese cushions	1
サプリメント	a	supplement	supplements	
作用（さよう）	an	action	actions	1
皿（さら）（大）	a	plate	plates	
皿（さら）（小）	a	dish	dishes	
サラダ	a	salad	salads	
サランラップ		cling film		1
酸（さん）		acid		1
参加者（さんかしゃ）	a	participant	participants	1
産休（さんきゅう）	a	maternity leave	maternity leaves	1
残業（ざんぎょう）		overtime work		
サングラス		sunglasses		
参考書（さんこうしょ）	a	reference book	reference books	
サンドイッチ	a	sandwich	sandwiches	
サンプル	a	sample	samples	
散歩（さんぽ）	a	walk		
市（し）	a	city	cities	
シート	a	sheet	sheets	
支援（しえん）	a	support	supports	
塩（しお）		salt		
視界（しかい）		visibility		1
歯科医（しかい）	a	dentist	dentists	
司会（しかい）	a	moderator	moderators	1
歯科医院（しかいいん）	a	dental clinic	dental clinics	
次回（じかい）	the	next time		
資格（しかく）	a	qualification	qualifications	1
自覚（じかく）		consciousness		1
時間（じかん）		time		
時間帯（じかんたい）	a	time slot	time slots	1
試供品（しきょうひん）	a	sample	samples	1
試験（しけん）	a	test	tests	1
試験（しけん）	an	examination	examinations	
事件（じけん）	an	incident	incidents	
事故（じこ）	an	accident	accidents	
時刻（じこく）		time		1
仕事（しごと）		work		
自殺（じさつ）		suicide		1
事実（じじつ）	a	fact	facts	1
磁石（じしゃく）	a	magnet	magnets	
辞書（じしょ）	a	dictionary	dictionaries	
自信（じしん）		confidence		
地震（じしん）	an	earthquake	earthquakes	
施設（しせつ）	a	facility	facilities	1
舌（した）	a	tongue	tongues	
死体（したい）	a	dead body	dead bodies	1
下着（したぎ）		underwear		
試着（しちゃく）		try-on		
試着室（しちゃくしつ）	a	fitting room	fitting rooms	
失業（しつぎょう）		unemployment		1
失業保険（しつぎょうほけん）		unemployment insurance		1
湿気（しっけ）		moisture		1
実験（じっけん）	an	experiment	experiments	1
実績（じっせき）	an	achievement	achievements	1
湿度（しつど）		humidity		1
失敗（しっぱい）	a	failure	failures	1
尻尾（しっぽ）	a	tail	tails	
質問（しつもん）	a	question	questions	
自転車（じてんしゃ）	a	bicycle	bicycles	
指導者（しどうしゃ）	an	instructor	instructors	
児童（じどう）	a	child	children	
自動車（じどうしゃ）	an	automobile	automobiles	
自動券売機（じどうけんばいき）	an	automatic ticket vending machine	automatic ticket vending machines	
自動販売機（じどうはんばいき）	a	vending machine	vending machines	
芝（しば）		turf		1
芝生（しばふ）	a	lawn	lawns	1
支払（しはら）い	a	payment	payments	1
自販機（じはんき）	a	vending machine	vending machines	
